Episode,Steps,Total_Reward,Avg_Speed_mps,Total_Energy_Wh,Success
613,9,-91.57,2.11,65.64,0
614,3,-90.36,0.94,6.27,0
615,7,88.37,23.22,166.20,1
616,2,-90.67,12.63,92.64,0
617,9,-91.82,3.47,143.92,0
618,1,-90.18,15.89,0.00,0
619,2,-90.95,14.52,1.00,0
620,3,-91.19,19.38,151.53,0
621,5,-91.37,26.57,206.39,0
622,1,-90.59,15.22,111.52,0
623,13,-92.26,5.36,99.99,0
624,1,-90.00,20.75,0.00,0
625,11,-92.16,4.33,81.97,0
626,5,88.47,33.54,161.72,1
627,5,-91.20,30.74,94.93,0
628,1,-90.00,0.00,0.00,0
629,5,-90.95,6.23,3.00,0
630,14,-93.04,5.17,-76.44,0
631,1,-90.00,29.05,0.00,0
632,1,-90.45,12.34,72.42,0
633,1,-90.00,0.00,0.00,0
634,2,-90.51,9.87,120.14,0
635,7,-91.37,4.74,6.00,0
636,5,-91.39,3.32,4.00,0
637,1,-90.00,0.00,0.00,0
638,2,-90.85,3.29,21.36,0
639,1,-90.00,0.00,0.00,0
640,200,-41.37,0.12,257.06,0
641,8,-92.29,11.85,347.67,0
642,2,-90.85,18.68,1.00,0
643,2,-90.85,13.10,82.50,0
644,1,-90.00,0.00,0.00,0
645,2,-90.49,34.72,0.00,0
646,9,-92.00,8.67,56.36,0
647,12,87.12,16.28,66.38,1
648,11,-92.44,17.19,164.51,0
649,11,-91.37,5.65,106.15,0
650,3,-90.21,32.23,0.00,0
651,5,-90.95,1.82,4.00,0
652,5,-91.48,20.63,25.04,0
653,4,-90.90,19.48,92.85,0
654,11,-91.48,6.65,10.41,0
655,200,-42.32,0.29,220.30,0
656,1,-90.16,24.90,0.00,0
657,5,-91.40,15.41,3.00,0
658,12,-92.59,3.12,163.22,0
659,6,-91.41,2.42,79.91,0
660,200,-40.01,0.49,198.95,0
661,10,-92.28,11.31,39.44,0
662,16,87.22,8.72,-14.96,1
663,13,86.56,12.37,130.08,1
664,5,-91.57,10.27,121.08,0
665,14,-92.45,2.45,111.94,0
666,2,-90.42,32.82,-57.23,0
667,2,-90.41,6.24,3.51,0
668,11,87.97,15.05,-54.94,1
669,7,-91.80,23.61,102.40,0
670,1,-90.08,22.67,0.00,0
671,1,-90.00,0.00,0.00,0
672,1,-90.00,0.00,0.00,0
673,2,-90.51,14.52,1.00,0
674,1,-90.00,37.35,0.00,0
675,22,86.73,14.71,-227.85,1
676,8,-91.62,15.07,85.71,0
677,2,-90.87,12.45,1.00,0
678,6,-91.43,7.03,133.67,0
679,1,-90.38,12.99,80.63,0
680,8,-91.15,13.49,-79.68,0
681,1,-90.00,0.00,0.00,0
682,1,-90.00,0.00,0.00,0
683,5,-91.44,7.31,75.52,0
684,6,-91.02,10.44,-64.58,0
685,1,-90.00,0.00,0.00,0
686,1,-90.00,0.00,0.00,0
687,12,-92.04,3.86,32.38,0
688,9,87.30,15.73,161.44,1
689,9,-92.52,5.57,112.64,0
690,5,-90.39,1.96,20.65,0
691,1,-90.24,12.45,0.00,0
692,1,-90.00,0.00,0.00,0
693,7,-91.47,17.42,98.81,0
694,200,-42.25,0.18,222.62,0
695,4,-90.85,1.84,28.93,0
696,2,-90.78,17.64,151.84,0
697,10,-92.41,12.48,26.85,0
698,10,-91.81,6.55,152.78,0
699,1,-90.00,0.00,0.00,0
700,6,-91.17,9.20,104.90,0
701,3,-90.73,23.34,99.97,0
702,2,-90.54,2.93,17.28,0
703,6,-91.89,15.04,255.43,0
704,3,-90.70,9.05,2.00,0
705,12,-92.22,16.42,-86.71,0
706,9,-91.06,1.84,8.00,0
707,14,-92.52,5.59,23.37,0
708,6,-91.96,5.82,166.25,0
709,1,-90.00,0.00,0.00,0
710,3,-91.02,17.98,-78.03,0
711,2,-90.51,10.38,1.00,0
712,1,-90.00,0.00,0.00,0
713,7,88.21,19.88,-46.11,1
714,3,-91.48,14.73,121.27,0
715,3,-90.36,32.37,0.00,0
716,6,-91.37,4.84,5.00,0
717,2,-90.58,10.84,110.89,0
718,5,-91.45,20.16,26.67,0
719,3,-91.84,18.61,199.98,0
